date	nil	count
2014-02-28 13:00:00	BAGGIO	16.0
2014-02-28 14:00:00	BAGGIO	16.0
2014-02-28 15:00:00	BAGGIO	15.2
2014-02-28 16:00:00	BAGGIO	15.633333333333333
2014-02-28 17:00:00	BAGGIO	19.266666666666666
2014-02-28 18:00:00	BAGGIO	18.533333333333335
2014-02-28 19:00:00	BAGGIO	16.766666666666666
2014-02-28 20:00:00	BAGGIO	16.766666666666666
2014-02-28 21:00:00	BAGGIO	19.6
2014-02-28 22:00:00	BAGGIO	20.233333333333334
2014-02-28 23:00:00	BAGGIO	21.0
2014-03-01 00:00:00	BAGGIO	22.633333333333333
2014-03-01 01:00:00	BAGGIO	23.233333333333334
2014-03-01 02:00:00	BAGGIO	18.4
2014-03-01 03:00:00	BAGGIO	21.466666666666665
2014-03-01 04:00:00	BAGGIO	26.0
2014-03-01 05:00:00	BAGGIO	25.766666666666666
2014-03-01 06:00:00	BAGGIO	24.666666666666668
2014-03-01 07:00:00	BAGGIO	24.733333333333334
2014-03-01 08:00:00	BAGGIO	23.8
2014-03-01 09:00:00	BAGGIO	23.866666666666667
2014-03-01 10:00:00	BAGGIO	23.0
2014-03-01 11:00:00	BAGGIO	23.0
2014-03-01 12:00:00	BAGGIO	23.3
2014-03-01 13:00:00	BAGGIO	23.9
2014-03-01 14:00:00	BAGGIO	23.7
2014-03-01 15:00:00	BAGGIO	24.0
2014-03-01 16:00:00	BAGGIO	23.933333333333334
2014-03-01 17:00:00	BAGGIO	23.666666666666668
2014-03-01 18:00:00	BAGGIO	24.5
2014-03-01 19:00:00	BAGGIO	23.333333333333332
2014-03-01 20:00:00	BAGGIO	24.266666666666666
2014-03-01 21:00:00	BAGGIO	23.1
2014-03-01 22:00:00	BAGGIO	21.533333333333335
2014-03-01 23:00:00	BAGGIO	22.1
2014-03-02 00:00:00	BAGGIO	20.866666666666667
2014-03-02 01:00:00	BAGGIO	22.633333333333333
2014-03-02 02:00:00	BAGGIO	21.533333333333335
2014-03-02 03:00:00	BAGGIO	24.0
2014-03-02 04:00:00	BAGGIO	24.333333333333332
2014-03-02 05:00:00	BAGGIO	20.8
2014-03-02 06:00:00	BAGGIO	23.766666666666666
2014-03-02 07:00:00	BAGGIO	23.0
2014-03-02 08:00:00	BAGGIO	23.1
2014-03-02 09:00:00	BAGGIO	22.033333333333335
2014-03-02 10:00:00	BAGGIO	21.0
2014-03-02 11:00:00	BAGGIO	21.233333333333334
2014-03-02 12:00:00	BAGGIO	19.366666666666667
2014-03-02 13:00:00	BAGGIO	19.866666666666667
2014-03-02 14:00:00	BAGGIO	20.0
2014-03-02 15:00:00	BAGGIO	18.533333333333335
2014-03-02 16:00:00	BAGGIO	18.0
2014-03-02 17:00:00	BAGGIO	17.866666666666667
2014-03-02 18:00:00	BAGGIO	18.166666666666668
2014-03-02 19:00:00	BAGGIO	16.966666666666665
2014-03-02 20:00:00	BAGGIO	16.966666666666665
2014-03-02 21:00:00	BAGGIO	18.3
2014-03-02 22:00:00	BAGGIO	20.266666666666666
2014-03-02 23:00:00	BAGGIO	21.7
2014-02-24 00:00:00	BANDE NERE	7.7
2014-02-24 01:00:00	BANDE NERE	8.7
2014-02-24 02:00:00	BANDE NERE	10.7
2014-02-24 03:00:00	BANDE NERE	11.0
2014-02-24 04:00:00	BANDE NERE	11.0
2014-02-24 05:00:00	BANDE NERE	11.0
2014-02-24 06:00:00	BANDE NERE	10.666666666666666
2014-02-24 07:00:00	BANDE NERE	9.366666666666667
2014-02-24 08:00:00	BANDE NERE	5.966666666666667
2014-02-24 09:00:00	BANDE NERE	3.8666666666666667
2014-02-24 10:00:00	BANDE NERE	1.8333333333333333
2014-02-24 11:00:00	BANDE NERE	2.4
2014-02-24 12:00:00	BANDE NERE	2.4
2014-02-24 13:00:00	BANDE NERE	1.4
2014-02-24 14:00:00	BANDE NERE	2.966666666666667
2014-02-24 15:00:00	BANDE NERE	5.033333333333333
2014-02-24 16:00:00	BANDE NERE	5.566666666666666
2014-02-24 17:00:00	BANDE NERE	2.7333333333333334
2014-02-24 18:00:00	BANDE NERE	3.3
2014-02-24 19:00:00	BANDE NERE	2.6
2014-02-24 20:00:00	BANDE NERE	2.6666666666666665
2014-02-24 21:00:00	BANDE NERE	3.6
2014-02-24 22:00:00	BANDE NERE	1.1
2014-02-24 23:00:00	BANDE NERE	2.3666666666666667
2014-02-25 00:00:00	BANDE NERE	5.7
2014-02-25 01:00:00	BANDE NERE	4.533333333333333
2014-02-25 02:00:00	BANDE NERE	6.7
2014-02-25 03:00:00	BANDE NERE	9.233333333333333
2014-02-25 04:00:00	BANDE NERE	9.6
2014-02-25 05:00:00	BANDE NERE	9.166666666666666
2014-02-25 06:00:00	BANDE NERE	8.6
2014-02-25 07:00:00	BANDE NERE	7.133333333333334
2014-02-25 08:00:00	BANDE NERE	6.1
2014-02-25 09:00:00	BANDE NERE	5.733333333333333
2014-02-25 10:00:00	BANDE NERE	3.7333333333333334
2014-02-25 11:00:00	BANDE NERE	4.266666666666667
2014-02-25 12:00:00	BANDE NERE	4.433333333333334
